status,saves,max_sd,prob,min_sd
0,1,0.421043082447957,0.817,0.421043082447957
0,2,0.290577761426155,0.897,0.290577761426155
0,3,0.218054001448145,0.947,0.218054001448145
0,4,0.162164414398774,0.975,0.162164414398774
0,5,0.113330683593826,0.981,0.113330683593826
0,6,0.0944877131056093,0.987,0.0944877131056093
0,7,0.0705689732104696,0.996,0.0705689732104696
0,8,0.0705689732104696,0.996,0.0705689732104696
0,9,0.0446989708829856,1,0.0446989708829856
0,10,0.054717401199198,1,0.054717401199198
0,11,0.0446989708829856,0.999,0.0446989708829856
0,12,0,1,0
0,13,0,0.999,0
0,14,0,1,0
0,15,0,1,0
0,16,0,1,0
1,1,0.497939699104163,0.549,0.497939699104163
1,2,0.45536618051669,0.714,0.45536618051669
1,3,0.394850486775573,0.83,0.394850486775573
1,4,0.315524255098646,0.896,0.315524255098646
1,5,0.253580960056751,0.908,0.253580960056751
1,6,0.207407854282373,0.956,0.207407854282373
1,7,0.186383311320351,0.973,0.186383311320351
1,8,0.129335717138491,0.979,0.129335717138491
1,9,0.117549214450024,0.989,0.117549214450024
1,10,0.0705689732104696,0.989,0.0705689732104696
1,11,0.0772655807586403,0.987,0.0772655807586403
1,12,0,0.999,0
1,13,0.0631505185092568,1,0.0631505185092568
1,14,0.0316227766016838,0.999,0.0316227766016838
1,15,0,1,0
1,16,0,0.999,0
2,1,0.49915945364198,0.535,0.49915945364198
2,2,0.496513368929302,0.561,0.496513368929302
2,3,0.467856698028242,0.688,0.467856698028242
2,4,0.397167145848875,0.79,0.397167145848875
2,5,0.377569276502417,0.854,0.377569276502417
2,6,0.317970289657863,0.874,0.317970289657863
2,7,0.251871871076227,0.931,0.251871871076227
2,8,0.202958597236462,0.946,0.202958597236462
2,9,0.207407854282373,0.972,0.207407854282373
2,10,0.159214789983058,0.983,0.159214789983058
2,11,0.1531255937048,0.987,0.1531255937048
2,12,0.104354635210372,0.991,0.104354635210372
2,13,0.0705689732104696,0.988,0.0705689732104696
2,14,0.0834143750078963,0.996,0.0834143750078963
2,15,0.0834143750078963,1,0.0834143750078963
2,16,0.0446989708829856,0.997,0.0446989708829856
3,1,0.496755237280661,0.542,0.496755237280661
3,2,0.494437527366672,0.558,0.494437527366672
3,3,0.489730370546728,0.602,0.489730370546728
3,4,0.446737702208549,0.711,0.446737702208549
3,5,0.394070160366516,0.778,0.394070160366516
3,6,0.368635174517967,0.835,0.368635174517967
3,7,0.305413289293831,0.883,0.305413289293831
3,8,0.284886223184204,0.906,0.284886223184204
3,9,0.231958627355839,0.938,0.231958627355839
3,10,0.193691808077979,0.951,0.193691808077979
3,11,0.173404351355637,0.971,0.173404351355637
3,12,0.136593036636783,0.987,0.136593036636783
3,13,0.104354635210372,0.988,0.104354635210372
3,14,0.0944877131056093,0.985,0.0944877131056093
3,15,0.0834143750078963,0.998,0.0834143750078963
3,16,0.0891288053546324,0.999,0.0891288053546324
4,1,0.498565509805449,0.55,0.498565509805449
4,2,0.496988931464271,0.549,0.496988931464271
4,3,0.490746198998863,0.604,0.490746198998863
4,4,0.485875575713654,0.604,0.485875575713654
4,5,0.469719742651548,0.691,0.469719742651548
4,6,0.416466618643613,0.764,0.416466618643613
4,7,0.375820756799357,0.83,0.375820756799357
4,8,0.323950527000565,0.865,0.323950527000565
4,9,0.284886223184204,0.917,0.284886223184204
4,10,0.255274685711618,0.936,0.255274685711618
4,11,0.235742602375079,0.965,0.235742602375079
4,12,0.202958597236462,0.959,0.202958597236462
4,13,0.125537881771837,0.966,0.125537881771837
4,14,0.133017644294634,0.981,0.133017644294634
4,15,0.113330683593826,0.988,0.113330683593826
4,16,0.0995485304256668,0.996,0.0995485304256668
5,1,0.496988931464271,0.558,0.496988931464271
5,2,0.49753747953651,0.554,0.49753747953651
5,3,0.4909429956981,0.6,0.4909429956981
5,4,0.492619197427053,0.618,0.492619197427053
5,5,0.480819287453392,0.64,0.480819287453392
5,6,0.45305767983918,0.728,0.45305767983918
5,7,0.41102791139282,0.785,0.41102791139282
5,8,0.384379692163553,0.829,0.384379692163553
5,9,0.330884397463048,0.867,0.330884397463048
5,10,0.294738648417324,0.895,0.294738648417324
5,11,0.253580960056751,0.932,0.253580960056751
5,12,0.226130792098589,0.956,0.226130792098589
5,13,0.16505527329729,0.958,0.16505527329729
5,14,0.1531255937048,0.971,0.1531255937048
5,15,0.159214789983058,0.979,0.159214789983058
5,16,0.117549214450024,0.988,0.117549214450024
