status,saves,max_sd,prob,min_sd
0,1,0.461480188051409,0.3,0.461480188051409
0,2,0.397167145848875,0.197,0.397167145848875
0,3,0.372266816386557,0.154,0.372266816386557
0,4,0.302799748493435,0.103,0.302799748493435
0,5,0.302799748493435,0.09,0.302799748493435
0,6,0.250147103868051,0.054,0.250147103868051
0,7,0.218054001448145,0.047,0.218054001448145
0,8,0.18387171834953,0.046,0.18387171834953
0,9,0.188856206322871,0.041,0.188856206322871
0,10,0.170672578726429,0.029,0.170672578726429
0,11,0.170672578726429,0.018,0.170672578726429
0,12,0.140070052543788,0.022,0.140070052543788
0,13,0.108939744206914,0.013,0.108939744206914
0,14,0.0834143750078963,0.009,0.0834143750078963
0,15,0.0944877131056093,0.01,0.0944877131056093
0,16,0.104354635210372,0.008,0.104354635210372
1,1,0.498951854343636,0.551,0.498951854343636
1,2,0.494590355364538,0.389,0.494590355364538
1,3,0.472921404310119,0.326,0.472921404310119
1,4,0.444698500960771,0.294,0.444698500960771
1,5,0.414453582167861,0.205,0.414453582167861
1,6,0.393285740491152,0.178,0.393285740491152
1,7,0.359200535947575,0.144,0.359200535947575
1,8,0.340822769427396,0.137,0.340822769427396
1,9,0.296105857217784,0.105,0.296105857217784
1,10,0.281976081451088,0.089,0.281976081451088
1,11,0.237605674293474,0.07,0.237605674293474
1,12,0.230036772966665,0.056,0.230036772966665
1,13,0.207407854282373,0.042,0.207407854282373
1,14,0.173404351355637,0.032,0.173404351355637
1,15,0.170672578726429,0.037,0.170672578726429
1,16,0.140070052543788,0.012,0.140070052543788
2,1,0.498128630106855,0.554,0.498128630106855
2,2,0.496873105413125,0.563,0.496873105413125
2,3,0.498482180709085,0.484,0.498482180709085
2,4,0.49347696959384,0.395,0.49347696959384
2,5,0.473606696852255,0.349,0.473606696852255
2,6,0.450681832465115,0.298,0.450681832465115
2,7,0.439942666207257,0.253,0.439942666207257
2,8,0.387678080750375,0.205,0.387678080750375
2,9,0.404632830758612,0.18,0.404632830758612
2,10,0.341894562536306,0.146,0.341894562536306
2,11,0.330884397463048,0.127,0.330884397463048
2,12,0.294738648417324,0.125,0.294738648417324
2,13,0.263523138347365,0.091,0.263523138347365
2,14,0.246649216167082,0.071,0.246649216167082
2,15,0.239450070654273,0.068,0.239450070654273
2,16,0.222138122224316,0.051,0.222138122224316
3,1,0.497214463005877,0.59,0.497214463005877
3,2,0.498396829242923,0.554,0.498396829242923
3,3,0.493309592805932,0.589,0.493309592805932
3,4,0.50020116073556,0.513,0.50020116073556
3,5,0.499673567115245,0.439,0.499673567115245
3,6,0.491709037722287,0.418,0.491709037722287
3,7,0.477832946043201,0.376,0.477832946043201
3,8,0.454450795494436,0.273,0.454450795494436
3,9,0.426686138819931,0.266,0.426686138819931
3,10,0.392497202606661,0.23,0.392497202606661
3,11,0.372266816386557,0.19,0.372266816386557
3,12,0.360167628640777,0.154,0.360167628640777
3,13,0.347160655202344,0.127,0.347160655202344
3,14,0.340822769427396,0.11,0.340822769427396
3,15,0.315524255098646,0.113,0.315524255098646
3,16,0.286324958712967,0.087,0.286324958712967
4,1,0.496755237280661,0.535,0.496755237280661
4,2,0.497641082153239,0.565,0.497641082153239
4,3,0.487074164005074,0.604,0.487074164005074
4,4,0.484877413483146,0.617,0.484877413483146
4,5,0.499993993957921,0.531,0.499993993957921
4,6,0.499993993957921,0.5,0.499993993957921
4,7,0.494741112874975,0.459,0.494741112874975
4,8,0.489520817361867,0.386,0.489520817361867
4,9,0.478448443317473,0.319,0.478448443317473
4,10,0.4452125494797,0.277,0.4452125494797
4,11,0.441019839121211,0.233,0.441019839121211
4,12,0.426072221034812,0.227,0.426072221034812
4,13,0.400200150125109,0.192,0.400200150125109
4,14,0.37136627864268,0.166,0.37136627864268
4,15,0.349224795737585,0.152,0.349224795737585
4,16,0.338660140392534,0.142,0.338660140392534
5,1,0.498646817545895,0.566,0.498646817545895
5,2,0.492441365543654,0.55,0.492441365543654
5,3,0.495180981262613,0.604,0.495180981262613
5,4,0.479947236005532,0.622,0.479947236005532
5,5,0.477208264521611,0.66,0.477208264521611
5,6,0.493309592805932,0.569,0.493309592805932
5,7,0.499888876540466,0.538,0.499888876540466
5,8,0.499960959436795,0.458,0.499960959436795
5,9,0.492968577110162,0.423,0.492968577110162
5,10,0.477521755553637,0.361,0.477521755553637
5,11,0.465145526002734,0.321,0.465145526002734
5,12,0.4452125494797,0.287,0.4452125494797
5,13,0.44261372200476,0.269,0.44261372200476
5,14,0.415128090270137,0.219,0.415128090270137
5,15,0.41102791139282,0.207,0.41102791139282
5,16,0.373162498451077,0.173,0.373162498451077
